epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1136,3.42225,3.6061,4.27427,0.00366,0.20148,0.0022,0.00041,3.6661,3.91773,4.05841,0.0702128,0.00330969,0.00330969
2,113.445,2.58996,2.12197,3.20461,0.19554,0.04719,0.04424,0.01659,3.26572,4.63703,3.75298,0.0401963,0.00662658,0.00662658
3,168.656,1.95439,1.57699,2.55775,0.58095,0.24037,0.2701,0.15741,2.93254,4.25853,3.40014,0.0101634,0.00992698,0.00992698
4,220.822,1.63917,1.29515,2.20623,0.7549,0.40991,0.4202,0.22612,2.93741,8.41983,3.36654,0.00992575,0.00992575,0.00992575
5,272.577,1.41144,1.02646,1.99647,0.71256,0.32131,0.3783,0.24022,2.80691,5.71247,3.21489,0.009901,0.009901,0.009901
6,324.503,1.27043,0.86477,1.83424,0.89092,0.38918,0.42698,0.25796,2.87417,3.16049,3.23477,0.00987625,0.00987625,0.00987625
7,375.951,1.12242,0.73447,1.67539,0.85487,0.47137,0.4878,0.34875,2.69894,3.25198,3.07482,0.0098515,0.0098515,0.0098515
8,427.594,1.0276,0.65738,1.58973,0.97901,0.49576,0.49858,0.38502,2.56734,2.98421,2.89653,0.00982675,0.00982675,0.00982675
9,479.06,0.99509,0.61868,1.542,0.98855,0.49894,0.50018,0.4017,2.53046,2.78978,2.86083,0.009802,0.009802,0.009802
10,535.753,0.94131,0.58507,1.49903,0.93164,0.47695,0.49275,0.352,2.68603,3.08185,3.08119,0.00977725,0.00977725,0.00977725
11,592.903,0.90204,0.54483,1.45174,0.99179,0.49788,0.50075,0.40153,2.49379,2.83744,2.81931,0.0097525,0.0097525,0.0097525
12,650.711,0.88438,0.52871,1.42417,0.99468,0.49788,0.50081,0.3931,2.58704,3.07503,2.88971,0.00972775,0.00972775,0.00972775
13,708.491,0.85224,0.49714,1.39495,0.99392,0.49894,0.50587,0.42593,2.43705,2.84106,2.73984,0.009703,0.009703,0.009703
14,766.018,0.84057,0.49521,1.39254,0.99522,0.49947,0.50305,0.42358,2.46466,2.84921,2.77315,0.00967825,0.00967825,0.00967825
15,823.822,0.81605,0.48218,1.36032,0.96693,0.49576,0.49977,0.40664,2.43002,2.98171,2.71911,0.0096535,0.0096535,0.0096535
16,882.114,0.80121,0.46848,1.35713,0.97497,0.49894,0.50439,0.39903,2.48949,2.91531,2.7936,0.00962875,0.00962875,0.00962875
17,940.348,0.78657,0.46166,1.33744,0.99507,0.49947,0.51655,0.43423,2.3978,2.97789,2.6762,0.009604,0.009604,0.009604
18,997.822,0.78539,0.46069,1.33121,0.99487,0.49629,0.5114,0.42535,2.45706,2.99389,2.74946,0.00957925,0.00957925,0.00957925
19,1054.78,0.75931,0.44919,1.3093,0.96986,0.49364,0.5003,0.40267,2.51823,3.1077,2.87457,0.0095545,0.0095545,0.0095545
20,1111.43,0.74886,0.43375,1.30051,0.99806,0.49841,0.53813,0.45658,2.45544,2.96988,2.73961,0.00952975,0.00952975,0.00952975
