epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1332,3.42575,3.82446,4.39382,0,0,0,0,3.09326,4.01075,4.10511,0.0704225,0.00328638,0.00328638
2,101.756,2.62379,2.17534,3.30301,0.42748,0.40085,0.38541,0.08425,2.68082,1.93867,3.83965,0.0404062,0.00660333,0.00660333
3,150.979,2.02352,1.69197,2.66511,0.52173,0.33934,0.38367,0.1183,2.22504,2.53659,3.35113,0.0103733,0.00990378,0.00990378
4,200.624,1.63528,1.27937,2.22608,0.91919,0.83232,0.88671,0.53642,1.4074,2.28964,2.47251,0.00992575,0.00992575,0.00992575
5,250.224,1.3955,0.9917,1.98789,0.9116,0.94486,0.97123,0.34571,2.07392,1.86214,3.14207,0.009901,0.009901,0.009901
6,300.062,1.24941,0.83196,1.81875,0.95858,0.93253,0.94752,0.25549,2.49244,1.50142,3.80188,0.00987625,0.00987625,0.00987625
7,348.847,1.11695,0.73302,1.6763,0.9944,0.99682,0.99484,0.73971,1.00314,0.73058,1.85053,0.0098515,0.0098515,0.0098515
8,397.678,1.04966,0.65445,1.60944,0.99549,0.99364,0.99488,0.76112,0.98137,0.60177,1.89183,0.00982675,0.00982675,0.00982675
9,446.903,0.97873,0.61741,1.53849,0.99531,0.99152,0.99497,0.72953,0.91011,0.59876,1.72773,0.009802,0.009802,0.009802
10,495.859,0.94105,0.58213,1.49616,0.99759,0.99894,0.99499,0.77786,0.8941,0.80217,1.68836,0.00977725,0.00977725,0.00977725
11,544.85,0.92179,0.54785,1.47066,0.98391,0.97267,0.99357,0.76574,0.86611,0.75827,1.6633,0.0097525,0.0097525,0.0097525
12,593.984,0.88327,0.52885,1.42034,0.99395,0.99894,0.99497,0.81636,0.68044,0.50747,1.46622,0.00972775,0.00972775,0.00972775
13,643.439,0.84555,0.5003,1.39506,0.69871,0.76236,0.72237,0.36085,1.95007,1.88694,3.59711,0.009703,0.009703,0.009703
14,692.175,0.84024,0.49017,1.38832,0.9905,0.99492,0.99472,0.78416,0.79405,0.47734,1.56017,0.00967825,0.00967825,0.00967825
15,741.136,0.81677,0.47615,1.36058,0.98395,0.99788,0.99241,0.77162,0.83116,0.55907,1.68948,0.0096535,0.0096535,0.0096535
16,789.885,0.81218,0.47648,1.36583,0.98422,0.99199,0.99363,0.75819,0.8798,0.81332,1.71208,0.00962875,0.00962875,0.00962875
17,839.193,0.78203,0.45431,1.33241,0.9869,0.99894,0.99459,0.83129,0.66428,0.45473,1.39981,0.009604,0.009604,0.009604
18,888.314,0.77737,0.45646,1.32623,0.99682,0.99847,0.99487,0.85296,0.64371,0.67571,1.37317,0.00957925,0.00957925,0.00957925
19,937.788,0.76048,0.43047,1.30287,0.99569,0.99894,0.99499,0.79036,0.73531,1.02196,1.4767,0.0095545,0.0095545,0.0095545
20,987.625,0.74064,0.43471,1.28171,0.99978,0.99894,0.995,0.85469,0.64026,0.39555,1.36813,0.00952975,0.00952975,0.00952975
21,1036.3,0.76826,0.43358,1.30218,0.98837,0.99119,0.99442,0.7597,0.89604,0.61857,1.78681,0.009505,0.009505,0.009505
22,1085.85,0.74696,0.42742,1.28673,0.9885,0.99576,0.99464,0.84733,0.71723,0.40898,1.48779,0.00948025,0.00948025,0.00948025
23,1134.97,0.73298,0.42219,1.26751,0.99555,0.99894,0.99493,0.85043,0.62606,0.3575,1.33835,0.0094555,0.0094555,0.0094555
24,1184.4,0.72319,0.41742,1.25558,0.99836,0.99894,0.99497,0.85202,0.60841,0.36227,1.30511,0.00943075,0.00943075,0.00943075
25,1233.52,0.70323,0.40796,1.24678,0.99875,0.99894,0.99499,0.87972,0.58073,0.33646,1.28479,0.009406,0.009406,0.009406
26,1282.85,0.70968,0.40787,1.24708,0.99894,0.99881,0.995,0.89022,0.5647,0.33488,1.26014,0.00938125,0.00938125,0.00938125
27,1327.78,0.70584,0.39987,1.24956,0.9979,0.99894,0.995,0.86876,0.57226,0.32661,1.26571,0.0093565,0.0093565,0.0093565
28,1372.13,0.70827,0.41021,1.25089,0.99894,0.99795,0.995,0.86108,0.58884,0.61289,1.2984,0.00933175,0.00933175,0.00933175
29,1416.09,0.69575,0.40053,1.23267,0.98932,0.99894,0.99446,0.8348,0.7508,0.40013,1.48686,0.009307,0.009307,0.009307
30,1460.56,0.68204,0.39073,1.22177,0.99596,0.99894,0.99496,0.87342,0.55933,0.34369,1.27164,0.00928225,0.00928225,0.00928225
31,1504.34,0.68799,0.39425,1.22645,0.99979,0.99894,0.995,0.88378,0.55232,0.31057,1.2493,0.0092575,0.0092575,0.0092575
32,1548.48,0.68372,0.38112,1.22765,0.99813,0.99894,0.995,0.89341,0.51968,0.30525,1.2049,0.00923275,0.00923275,0.00923275
33,1592.26,0.67374,0.38645,1.20992,0.99753,0.99894,0.995,0.88085,0.59101,0.33314,1.28317,0.009208,0.009208,0.009208
34,1636.3,0.66862,0.38139,1.2139,0.98326,0.99152,0.99079,0.81849,0.73667,0.38633,1.48215,0.00918325,0.00918325,0.00918325
35,1679.99,0.66897,0.3746,1.20793,0.94153,0.99894,0.99105,0.85796,0.6237,0.41129,1.31778,0.0091585,0.0091585,0.0091585
36,1724.25,0.6658,0.3785,1.20867,0.99984,0.99894,0.995,0.89638,0.52984,0.29926,1.23536,0.00913375,0.00913375,0.00913375
37,1767.98,0.67245,0.37544,1.20617,0.9974,0.99894,0.99487,0.87847,0.54217,0.32524,1.24162,0.009109,0.009109,0.009109
38,1811.79,0.6659,0.37577,1.19594,0.99972,0.99894,0.995,0.8751,0.56056,0.32388,1.25221,0.00908425,0.00908425,0.00908425
39,1856.44,0.66185,0.38116,1.204,0.99978,0.99894,0.995,0.87331,0.55605,0.32847,1.23433,0.0090595,0.0090595,0.0090595
40,1902.27,0.64394,0.37406,1.18777,0.99835,0.99894,0.995,0.88954,0.52879,0.30851,1.22764,0.00903475,0.00903475,0.00903475
41,1951.44,0.6412,0.36121,1.18273,0.99885,0.99894,0.995,0.89127,0.49287,0.29578,1.17667,0.00901,0.00901,0.00901
42,2000.11,0.64462,0.36358,1.1943,0.99972,0.99788,0.995,0.88205,0.50679,0.30253,1.17437,0.00898525,0.00898525,0.00898525
43,2049.11,0.64274,0.35906,1.19181,0.99567,0.99894,0.995,0.84725,0.59921,0.63782,1.29544,0.0089605,0.0089605,0.0089605
44,2099.07,0.63707,0.36598,1.17744,0.99465,0.99894,0.995,0.89369,0.48391,0.3368,1.16491,0.00893575,0.00893575,0.00893575
45,2148.25,0.63005,0.3586,1.16994,0.9997,0.99894,0.995,0.8909,0.51409,0.30431,1.1988,0.008911,0.008911,0.008911
46,2197.93,0.64172,0.35538,1.18368,0.99884,0.9947,0.995,0.90073,0.51513,0.30109,1.2035,0.00888625,0.00888625,0.00888625
47,2247.46,0.62505,0.35472,1.16824,0.99364,0.99396,0.99487,0.84752,0.64518,0.37932,1.35995,0.0088615,0.0088615,0.0088615
48,2296.72,0.64126,0.36031,1.172,0.99941,0.99894,0.995,0.89636,0.51278,0.29874,1.19565,0.00883675,0.00883675,0.00883675
49,2345.68,0.63152,0.35336,1.17234,0.9996,0.99894,0.995,0.90508,0.49168,0.28579,1.16888,0.008812,0.008812,0.008812
50,2394.8,0.62036,0.34513,1.15799,0.99939,0.99894,0.995,0.89942,0.49717,0.27462,1.16614,0.00878725,0.00878725,0.00878725
51,2443.6,0.62368,0.34708,1.16437,0.99799,0.99894,0.995,0.88705,0.52662,0.29584,1.21193,0.0087625,0.0087625,0.0087625
52,2492.62,0.62418,0.34768,1.16334,0.99901,0.99894,0.995,0.89356,0.49359,0.29293,1.16134,0.00873775,0.00873775,0.00873775
53,2541.11,0.61444,0.34412,1.15363,0.99977,0.99894,0.995,0.90693,0.49939,0.27526,1.18734,0.008713,0.008713,0.008713
54,2589.86,0.61924,0.34725,1.15184,0.99788,0.99829,0.995,0.88683,0.53355,0.30804,1.20178,0.00868825,0.00868825,0.00868825
55,2639.15,0.60283,0.34529,1.14238,0.99602,0.99894,0.99488,0.88075,0.54051,0.30534,1.22803,0.0086635,0.0086635,0.0086635
56,2687.9,0.62,0.34739,1.16363,0.99894,0.99882,0.995,0.90509,0.50348,0.29265,1.17509,0.00863875,0.00863875,0.00863875
57,2736.85,0.59847,0.34261,1.13787,0.99958,0.99894,0.995,0.90447,0.53683,0.29024,1.2118,0.008614,0.008614,0.008614
58,2786.13,0.60631,0.33986,1.1478,0.99829,0.99894,0.995,0.89696,0.52014,0.28939,1.21495,0.00858925,0.00858925,0.00858925
59,2834.63,0.60791,0.34869,1.14958,0.99961,0.99894,0.995,0.89512,0.49339,0.2934,1.16327,0.0085645,0.0085645,0.0085645
60,2883.57,0.60212,0.33956,1.13988,0.99737,0.99894,0.995,0.89265,0.49858,0.28756,1.17209,0.00853975,0.00853975,0.00853975
61,2933.31,0.6094,0.34203,1.15842,0.99686,0.99894,0.99498,0.89237,0.48593,0.28029,1.15623,0.008515,0.008515,0.008515
62,2982.62,0.6158,0.33875,1.1577,0.99894,0.99881,0.995,0.91275,0.47761,0.27257,1.1283,0.00849025,0.00849025,0.00849025
63,3032.19,0.59794,0.34429,1.15319,0.99988,0.99894,0.995,0.90037,0.46745,0.26037,1.13493,0.0084655,0.0084655,0.0084655
64,3081.63,0.58505,0.33235,1.13125,0.99668,0.99894,0.995,0.91266,0.45221,0.26067,1.10721,0.00844075,0.00844075,0.00844075
65,3130.92,0.59666,0.33405,1.13607,0.99929,0.99894,0.995,0.91019,0.47068,0.28029,1.1338,0.008416,0.008416,0.008416
66,3180.38,0.5932,0.33208,1.14072,0.9995,0.99894,0.995,0.90254,0.47148,0.27916,1.14115,0.00839125,0.00839125,0.00839125
67,3229.68,0.58917,0.32895,1.13127,0.99987,0.99894,0.995,0.90471,0.46859,0.26804,1.13285,0.0083665,0.0083665,0.0083665
68,3278.85,0.6031,0.33795,1.14621,0.9991,0.99894,0.995,0.91204,0.4654,0.26322,1.13009,0.00834175,0.00834175,0.00834175
69,3328.33,0.59243,0.32865,1.13778,1,0.99886,0.995,0.91883,0.46403,0.25213,1.12942,0.008317,0.008317,0.008317
70,3377.69,0.59184,0.32809,1.13963,0.99968,0.99894,0.995,0.90688,0.45808,0.25342,1.1298,0.00829225,0.00829225,0.00829225
71,3426.53,0.59769,0.3292,1.13782,0.99986,0.99894,0.995,0.90975,0.47311,0.26314,1.13823,0.0082675,0.0082675,0.0082675
72,3475.43,0.577,0.31803,1.12926,0.99753,0.99894,0.995,0.91201,0.46489,0.25731,1.12608,0.00824275,0.00824275,0.00824275
73,3524.71,0.5854,0.32408,1.13541,0.99972,0.99894,0.995,0.91144,0.4629,0.26743,1.13067,0.008218,0.008218,0.008218
74,3573.65,0.58942,0.32676,1.13035,0.99992,0.99894,0.995,0.91354,0.46927,0.25302,1.13117,0.00819325,0.00819325,0.00819325
75,3622.19,0.58057,0.31687,1.1307,0.99929,0.99894,0.995,0.92147,0.45347,0.2518,1.11965,0.0081685,0.0081685,0.0081685
76,3671.21,0.58934,0.32105,1.13399,0.99654,0.99894,0.99426,0.89844,0.48874,0.28576,1.15294,0.00814375,0.00814375,0.00814375
77,3720.54,0.57569,0.31913,1.12006,0.9998,0.99894,0.995,0.91591,0.53014,0.27147,1.244,0.008119,0.008119,0.008119
78,3769.48,0.57174,0.31908,1.11901,0.99877,0.99894,0.995,0.91184,0.45304,0.24998,1.11534,0.00809425,0.00809425,0.00809425
