Epoch,Precision (B),Recall (B)
1,0.0,0.0
2,0.43546,0.69141
3,0.56999,0.55037
4,0.83094,0.78701
5,0.59289,0.79958
6,0.93991,0.87916
7,0.8908,0.91697
8,0.91876,0.86638
9,0.96792,0.98409
10,0.95531,0.97773
11,0.98517,0.9863
12,0.97755,0.99152
13,0.98625,0.97879
14,0.9219,0.94168
15,0.99894,0.99525
16,0.99635,0.99788
17,0.98212,0.99576
18,0.94866,0.96501
19,0.99472,0.99788
20,0.9992,0.9947
21,0.99788,0.99639
22,0.98913,0.99258
23,0.9977,0.99788
24,0.9967,0.99894
25,0.99682,0.9983
26,0.99968,0.99788
27,0.99599,0.99894
28,0.99682,0.99894
29,0.99976,0.99894
30,0.99708,0.99894
31,0.9985,0.99894
32,0.98323,0.99468
33,0.99839,0.99894
34,0.99771,0.99894
35,0.9999,0.99894
36,0.99576,0.99582
37,0.99367,0.99837
38,0.99958,0.99894
39,0.99954,0.99894
40,0.99974,0.99894
41,0.99978,0.99894
42,0.99773,0.99894
43,0.99979,0.99894
44,0.99957,0.99894
45,0.94117,0.9438
46,0.99987,0.99894
47,0.99988,0.99894
48,0.99713,0.99682
49,0.99657,0.99894
50,0.99869,0.99894
51,0.99882,0.99894
52,0.99803,0.99788
53,0.99957,0.99894
54,0.94107,0.97667
55,0.99991,0.99894
56,0.99973,0.99894
57,0.99967,0.99894
58,0.98618,0.99576
59,0.99988,0.99894
60,0.99779,0.99788
61,0.99958,0.99894
62,0.99989,0.99894
63,0.99991,0.99894
64,0.9996,0.99894
65,0.99967,0.99894
66,0.9999,0.99894
67,0.99968,0.99894
68,0.99993,0.99894
69,0.99489,0.99894
70,0.99976,0.99894
71,0.99828,0.99788
72,0.99926,0.99894
73,0.9999,0.99894
74,0.98987,0.9947
75,0.99883,0.99894
76,0.99788,0.99787
77,0.99986,0.99894
78,0.99991,0.99894
79,0.99952,0.99894
80,0.99982,0.99894
81,0.99984,0.99894
82,0.99986,0.99894
83,0.99958,0.99894
84,0.99983,0.99894
85,0.99892,0.99894
86,0.99989,0.99894
87,0.99894,0.99894
88,0.99986,0.99894
89,0.99728,0.99894
90,0.99991,0.99894
91,0.99989,0.99894
92,0.99993,0.99894
93,0.98939,0.99894
94,0.99952,0.99894
95,0.9999,0.99894
96,0.99859,0.99894
97,0.97106,0.9894
98,0.99993,0.99894
99,0.9999,0.99894
100,0.99364,0.99449
101,0.9999,0.99894
102,0.9996,0.99894
103,0.99992,0.99894
104,0.99992,0.99894
105,0.99993,0.99894
106,0.99989,0.99894
107,0.99993,0.99894
108,0.99976,0.99894
109,0.9999,0.99894
110,0.99979,0.99894
111,0.99992,0.99894
112,0.9999,0.99894
113,0.99975,0.99894
114,0.99807,0.99894
115,0.99992,0.99894
116,0.99992,0.99894
117,0.99991,0.99894
118,0.99988,0.99894
119,0.99975,0.99894
120,0.9998,0.99894
121,0.99914,0.99894
122,0.99993,0.99894
123,0.99991,0.99894
124,0.99989,0.99894
125,0.99979,0.99894
126,0.99991,0.99894
127,0.99993,0.99894
128,0.99996,0.99894
129,0.99992,0.99894
130,0.99986,0.99894
131,0.9999,0.99894
132,0.99993,0.99894
133,0.99993,0.99894
134,0.99993,0.99894
135,0.99992,0.99894
136,0.9999,0.99894
137,0.99993,0.99894
138,0.99994,0.99894
139,0.99993,0.99894
140,0.99993,0.99894
141,0.99989,0.99894
142,0.99993,0.99894
143,0.99986,0.99894
144,0.99968,0.99894
145,0.99992,0.99894
146,0.99993,0.99894
147,0.99992,0.99894
148,0.99992,0.99894
149,0.99993,0.99894
150,0.99993,0.99894
151,0.99993,0.99894
152,0.99996,0.99894
153,0.99993,0.99894
154,0.99993,0.99894
155,0.99993,0.99894
156,0.99993,0.99894
157,0.99993,0.99894
158,0.99993,0.99894
159,0.99991,0.99894
160,0.99992,0.99894
161,0.99992,0.99894
162,0.99992,0.99894
163,0.99993,0.99894
164,0.99992,0.99894
165,0.99984,0.99894
166,0.99993,0.99894
167,0.99991,0.99894
168,0.99992,0.99894
169,0.99946,0.99894
170,0.9998,0.99894
171,0.99987,0.99894
172,0.99932,0.99894
173,0.99979,0.99894
174,0.99967,0.99894
175,0.9999,0.99894
176,0.99992,0.99894
177,0.99993,0.99894
178,0.99992,0.99894
179,0.99992,0.99894
180,0.99993,0.99894
181,0.99993,0.99894
182,0.99992,0.99894
183,0.99993,0.99894
184,0.99993,0.99894
185,0.99989,0.99894
186,0.99992,0.99894
187,0.99992,0.99894
188,0.99992,0.99894
189,0.9999,0.99894
190,0.99993,0.99894
191,0.99993,0.99894
192,0.99993,0.99894
193,0.99993,0.99894
194,0.99993,0.99894
195,0.99993,0.99894
196,0.99993,0.99894
197,0.99993,0.99894
198,0.99992,0.99894
199,0.99992,0.99894
200,0.99992,0.99894
